"COLUMN_ID","SCHEMA","TABLE","COLUMN","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE"
49,"AIRFLOW","COPY_MP_REVENUE","PUBLISHERSHARE","NUMBER",22,,,"Y"
50,"AIRFLOW","COPY_MP_REVENUE","PARTNER_ID_DAUGHTER","NUMBER",22,,,"Y"
51,"AIRFLOW","COPY_MP_REVENUE","PARTNER_ID_PO","VARCHAR2",200,,,"Y"
52,"AIRFLOW","COPY_MP_REVENUE","PARTNER_NAME_PO","VARCHAR2",200,,,"Y"
53,"AIRFLOW","COPY_MP_REVENUE","MISSION_NAME","VARCHAR2",500,,,"Y"
54,"AIRFLOW","COPY_MP_REVENUE","BUNDLE_ID","VARCHAR2",200,,,"Y"
55,"AIRFLOW","COPY_MP_REVENUE","BUNDLE_NAME","VARCHAR2",200,,,"Y"
56,"AIRFLOW","COPY_MP_REVENUE","PAYMENT_MANAGER_ID","VARCHAR2",800,,,"Y"
57,"AIRFLOW","COPY_MP_REVENUE","MANAGERS_PARTNER","VARCHAR2",1000,,,"Y"
58,"AIRFLOW","COPY_MP_REVENUE","SUB_MANAGER_NAME","VARCHAR2",200,,,"Y"
59,"AIRFLOW","COPY_MP_REVENUE","SUB_PARTNER_ID","VARCHAR2",200,,,"Y"
60,"AIRFLOW","COPY_MP_REVENUE","SUB_CRM_MANAGER_ID","VARCHAR2",200,,,"Y"
61,"AIRFLOW","COPY_MP_REVENUE","SUB_ROLE","VARCHAR2",200,,,"Y"
62,"AIRFLOW","COPY_MP_REVENUE","IS_RENT_APP","VARCHAR2",20,,,"Y"
63,"AIRFLOW","COPY_MP_REVENUE","UPD_POCKET_TABAK","NUMBER",22,,,"Y"
64,"AIRFLOW","COPY_MP_REVENUE","FIN_PROJECT","VARCHAR2",200,,,"Y"
65,"AIRFLOW","COPY_MP_REVENUE","KPI_PROJECT","VARCHAR2",1000,,,"Y"
66,"AIRFLOW","COPY_MP_REVENUE","CC_SALES_TYPE","VARCHAR2",100,,,"Y"
67,"AIRFLOW","COPY_MP_REVENUE","DEAL_ID","NUMBER",22,,,"Y"
68,"AIRFLOW","COPY_MP_REVENUE","IS_PARTNER_PAYMENT_METHOD","NUMBER",22,,,"Y"
69,"AIRFLOW","COPY_MP_REVENUE","ID","NUMBER",22,,,"Y"
70,"AIRFLOW","COPY_MP_REVENUE","DOPLATA_REASON","VARCHAR2",200,,,"Y"
1,"AIRFLOW","DBT_COMPCOV_D_AFTER","MACROREGION","VARCHAR2",200,,,"Y"
2,"AIRFLOW","DBT_COMPCOV_D_AFTER","REGION","VARCHAR2",200,,,"Y"
3,"AIRFLOW","DBT_COMPCOV_D_AFTER","CITY","VARCHAR2",800,,,"Y"
4,"AIRFLOW","DBT_COMPCOV_D_AFTER","SEGMENT_NAME","VARCHAR2",200,,,"Y"
5,"AIRFLOW","DBT_COMPCOV_D_AFTER","CHECKS","NUMBER",22,,,"Y"
6,"AIRFLOW","DBT_COMPCOV_D_AFTER","AMOUNT","NUMBER",22,,,"Y"
7,"AIRFLOW","DBT_COMPCOV_D_AFTER","DEVICES","NUMBER",22,,,"Y"
1,"AIRFLOW","DBT_COMPCOV_D_BEFORE","MACROREGION","VARCHAR2",200,,,"Y"
2,"AIRFLOW","DBT_COMPCOV_D_BEFORE","REGION","VARCHAR2",200,,,"Y"
3,"AIRFLOW","DBT_COMPCOV_D_BEFORE","CITY","VARCHAR2",800,,,"Y"
4,"AIRFLOW","DBT_COMPCOV_D_BEFORE","SEGMENT_NAME","VARCHAR2",200,,,"Y"
5,"AIRFLOW","DBT_COMPCOV_D_BEFORE","CHECKS","NUMBER",22,,,"Y"
6,"AIRFLOW","DBT_COMPCOV_D_BEFORE","AMOUNT","NUMBER",22,,,"Y"
7,"AIRFLOW","DBT_COMPCOV_D_BEFORE","DEVICES","NUMBER",22,,,"Y"
1,"AIRFLOW","DBT_COMPCOV_REPORT","MACROREGION","VARCHAR2",200,,,"Y"
2,"AIRFLOW","DBT_COMPCOV_REPORT","REGION","VARCHAR2",200,,,"Y"
3,"AIRFLOW","DBT_COMPCOV_REPORT","CITY","VARCHAR2",800,,,"Y"
